['2', '4', '7', '0', '5', '8', '6', '9']
['0', '7', '4', '2', '5', '1', '9', '8']
['8', '5', '4', '7', '3', '0', '6', '1']
['9', '4', '1', '8', '0', '3', '5', '7']
['8', '7', '1', '0', '4', '2', '3', '9']
['9', '0', '7', '8', '4', '1', '6', '5']
['0', '4', '7', '9', '6', '5', '3', '2']
['7', '6', '0', '3', '5', '2', '9', '1']
['5', '9', '2', '1', '8', '6', '4', '0']
['5', '9', '7', '6', '2', '3', '4', '0']
['1', '7', '0', '4', '9', '3', '6', '8']
['5', '6', '8', '0', '9', '4', '3', '1']
['5', '0', '9', '6', '2', '4', '1', '8']
['3', '4', '7', '6', '2', '5', '8', '0']
['5', '3', '7', '8', '1', '9', '2', '4']
['9', '4', '1', '3', '8', '0', '5', '7']
['7', '4', '9', '1', '2', '3', '6', '8']
['2', '3', '9', '7', '6', '0', '5', '4']
['2', '1', '4', '6', '5', '8', '9', '0']
['4', '6', '3', '7', '1', '5', '2', '0']
['6', '5', '3', '7', '0', '4', '9', '8']
['5', '4', '3', '9', '0', '2', '6', '1']
['9', '8', '5', '4', '1', '0', '3', '2']
['6', '3', '7', '0', '4', '1', '5', '8']
['5', '3', '7', '1', '9', '8', '6', '0']
['0', '6', '9', '7', '5', '3', '2', '8']
['7', '4', '2', '5', '8', '0', '1', '9']
['6', '8', '4', '1', '2', '0', '9', '7']
['9', '8', '1', '5', '4', '3', '2', '0']
['0', '5', '4', '1', '3', '2', '9', '7']
