['6', '3', '9', '4', '8', '2', '1', '7']
['4', '6', '7', '3', '8', '5', '9', '1']
['6', '7', '5', '9', '1', '4', '3', '0']
['5', '4', '8', '2', '0', '6', '9', '1']
['5', '6', '7', '1', '8', '4', '0', '3']
['6', '8', '7', '0', '9', '2', '1', '5']
['9', '6', '8', '2', '1', '4', '5', '3']
['7', '4', '2', '9', '5', '8', '6', '1']
['1', '8', '7', '9', '3', '6', '4', '0']
['7', '6', '9', '1', '2', '3', '0', '4']
['8', '6', '1', '9', '0', '7', '2', '5']
['0', '8', '4', '7', '1', '5', '6', '9']
['7', '2', '8', '6', '3', '9', '0', '4']
['5', '6', '8', '3', '0', '7', '2', '9']
['1', '6', '2', '3', '5', '0', '7', '4']
['2', '8', '7', '9', '4', '5', '3', '0']
['3', '8', '7', '5', '6', '0', '1', '2']
['5', '9', '1', '7', '6', '3', '4', '0']
['6', '0', '4', '7', '9', '3', '1', '2']
['9', '5', '0', '7', '6', '8', '2', '1']
['7', '3', '6', '0', '8', '5', '9', '1']
['6', '0', '1', '2', '3', '7', '9', '8']
['8', '0', '7', '3', '9', '1', '4', '5']
['6', '9', '0', '5', '8', '2', '1', '7']
['0', '6', '8', '9', '2', '5', '3', '7']
['1', '2', '8', '7', '5', '0', '9', '4']
['5', '3', '4', '8', '7', '0', '2', '1']
['4', '2', '8', '0', '5', '6', '1', '9']
['6', '8', '4', '7', '1', '5', '9', '0']
['4', '7', '8', '9', '3', '6', '5', '1']
